|MÉTODOS DE ORDENAÇÃO|ARQUIVO ORDENADO				|ARQUIVO EM ORDEM REVERSA		 |ARQUIVO RANDÔMICO
|		     |Comp. 1	|Comp. 2|Mov. 1	|Mov. 2	|Tempo	|Comp. 1|Comp. 2|Mov. 1	|Mov. 2	|Tempo	|Comp. 1|Comp. 2|Mov. 1	|Mov. 2	|Tempo	|
|Insertion Sort	     | 1023	| 1023	| 1023	| 3069	| 17607	| 524799	| 262399	| 524799	| 525822	| 9308283	| 265639	| 262399	| 265639	| 264445	| 5030671	|
|Binary Insertion    | 18454	| 0	| 1023	| 3069	| 87870	| 20480	| 523776	| 524799	| 525822	| 10386235	| 17934	| 7097	| 266094	| 264445	| 2805028	|
|Select Sort	     | 523776	| 523776	| 2046	| 3069	| 2762537	| 523776	| 523776	| 2046	| 265213	| 4111153	| 523776	| 523776	| 2046	| 7688	| 2780490	|
|Bubble Sort	     | 524800	| 523776	| 0	| 0	| 5473363	| 524800	| 523776	| 1047552	| 341	| 11029712	| 524800	| 523776	| 529232	| 7688	| 8614568	|
|Shake Sort	     | 524801	| 523776	| 0	| 0	| 6374934	| 524801	| 523776	| 1047552	| 785664	| 12911835	|
|Shell Sort	     | 93	| -1	| 0	| -1	| 526	| 133	| -1	| 80	| -1	| 1576	| 116	| -1	| 46	| -1	| 1138	|
|Heap Sort	     | 223	| -1	| 100	| -1	| 2427	| 223	| -1	| 76	| -1	| 2298	| 223	| -1	| 102	| -1	| 2495	|
|Quick Sort 1	     | 195	| -1	| 30	| -1	| 1177	| 227	| -1	| 62	| -1	| 1494	| 287	| -1	| 122	| -1	| 2053	|
|Quick Sort 2	     | 195	| -1	| 30	| -1	| 1115	| 227	| -1	| 62	| -1	| 1531	| 287	| 120	| 122	| 53	| 2126	|
|Merge 1	     | 49	| -1	| 256	| -1	| 2460	| 49	| -1	| 256	| -1	| 2325	| 44	| -1	| 256	| -1	| 2245	|
|Merge 2	     | 32	| -1	| 256	| -1	| 2316	| 32	| -1	| 256	| -1	| 2197	| 46	| -1	| 256	| -1	| 2276	|
|countingSort	     | 16	| -1	| 32	| -1	| 554	| 16	| -1	| 32	| -1	| 575	| 16	| -1	| 32	| -1	| 467	|
|Gnome Sort	     | 12	| -1	| 32	| -1	| 388	| 11	| -1	| 32	| -1	| 380	| 1	| -1	| 32	| -1	| 386	|
|Radix		     | 16	| -1	| 64	| -1	| 889	| 16	| -1	| 64	| -1	| 863	| 16	| -1	| 96	| -1	| 1151	|
|Comb		     | 75	| -1	| 0	| -1	| 1131	| 75	| -1	| 56	| -1	| 1346	| 75	| -1	| 68	| -1	| 1449	|
|Gnome Sort	     | 15	| -1	| 0	| -1	| 393	| 240	| -1	| 480	| -1	| 4700	| 100	| -1	| 172	| -1	| 2020	|
|Tim Sort	     | 15	| -1	| 30	| -1	| 525	| 135	| -1	| 270	| -1	| 2471	| 58	| -1	| 116	| -1	| 966	|
