|MÉTODOS DE ORDENAÇÃO|ARQUIVO ORDENADO				|ARQUIVO EM ORDEM REVERSA		 |ARQUIVO RANDÔMICO
|		     |Comp. 1	|Comp. 2|Mov. 1	|Mov. 2	|Tempo	|Comp. 1|Comp. 2|Mov. 1	|Mov. 2	|Tempo	|Comp. 1|Comp. 2|Mov. 1	|Mov. 2	|Tempo	|
|Insertion Sort	     | 511	| 511	| 511	| 1533	| 8805	| 131327	| 65663	| 131327	| 131838	| 1917916	| 66239	| 65663	| 66239	| 66685	| 1087859	|
|Binary Insertion    | 8212	| 0	| 511	| 1533	| 43279	| 9216	| 130816	| 131327	| 131838	| 2323421	| 8286	| 3194	| 66363	| 66685	| 1163609	|
|Select Sort	     | 130816	| 130816	| 1022	| 1533	| 1416720	| 130816	| 130816	| 1022	| 67069	| 2685715	| 130816	| 130816	| 1022	| 3489	| 1765918	|
|Bubble Sort	     | 131328	| 130816	| 0	| 0	| 3416066	| 131328	| 130816	| 261632	| 170	| 3421020	| 131328	| 130816	| 131456	| 3489	| 2396300	|
|Shake Sort	     | 131329	| 130816	| 0	| 0	| 1598240	| 131329	| 130816	| 261632	| 196224	| 3157830	| 131329	| 130816	| 131456	| 392448	| 2371635	|
|Shell Sort	     | 3069	| -1	| 0	| -1	| 18290	| 36093	| -1	| 66048	| -1	| 812438	| 22228	| -1	| 38318	| -1	| 480146	|
|Heap Sort	     | 197631	| -1	| 8192	| -1	| 1646561	| 197631	| -1	| 7464	| -1	| 1648476	| 197631	| -1	| 8244	| -1	| 1645835	|
|Quick Sort 1	     | 133371	| -1	| 1022	| -1	| 807141	| 134395	| -1	| 2046	| -1	| 814906	| 206799	| -1	| 74450	| -1	| 1462549	|
|Quick Sort 2	     | 133371	| -1	| 1022	| -1	| 808483	| 134395	| -1	| 2046	| -1	| 814211	| 206799	| 130816	| 74450	| 3489	| 1467707	|
|Merge 1	     | 4097	| -1	| 18432	| -1	| 145211	| 4097	| -1	| 18432	| -1	| 144094	| 3962	| -1	| 18432	| -1	| 143441	|
|Merge 2	     | 2304	| -1	| 18432	| -1	| 130491	| 2304	| -1	| 18432	| -1	| 129613	| 3954	| -1	| 18432	| -1	| 140494	|
|countingSort	     | 512	| -1	| 1024	| -1	| 15620	| 512	| -1	| 1024	| -1	| 15610	| 512	| -1	| 1024	| -1	| 15414	|
|Gnome Sort	     | 408	| -1	| 1024	| -1	| 12641	| 407	| -1	| 1024	| -1	| 12215	| 212	| -1	| 1024	| -1	| 12344	|
|Radix		     | 512	| -1	| 3072	| -1	| 37080	| 512	| -1	| 3072	| -1	| 36978	| 512	| -1	| 4096	| -1	| 46436	|
|Comb		     | 8577	| -1	| 0	| -1	| 110343	| 8577	| -1	| 2960	| -1	| 118651	| 8577	| -1	| 7468	| -1	| 132403	|
|Gnome Sort	     | 511	| -1	| 0	| -1	| 12644	| 261632	| -1	| 523264	| -1	| 4714163	| 131964	| -1	| 262912	| -1	| 2392773	|
|Tim Sort	     | 1520	| -1	| 9184	| -1	| 65422	| 9456	| -1	| 25056	| -1	| 161115	| 6419	| -1	| 17008	| -1	| 113252	|
